ID;Cidade;Tipo_Estabelecimento;Nome;Endereco;Entrega;Telefone;Cardapio;Website
1;ARCOS;PIZZARIAS;Ponto Da Pizza;"
R. Getúlio Vargas, 468 - Centro, Arcos - MG, 35588-000";"
Fazer um pedido
ifood.com.br";"
(37) 3351-5150";"
Cardápio
pontodapizza.com.br";
2;ARCOS;PIZZARIAS;GOOD PIZZA;"
Praça Floriano Peixoto, 21 - Loja 01 - Centro, Arcos - MG, 35588-000";"
Fazer um pedido
ifood.com.br";"
(37) 3351-4809";"
Cardápio
goodpizza.com.br";"
goodpizza.com.br"
3;ARCOS;PIZZARIAS;La Bella Massa;"
Av. João Vaz Sobrinho Trecho I, 1153 - cidade nova, Arcos - MG, 35588-000";"
Fazer um pedido
ifood.com.br";"
(37) 3351-3851";;
4;ARCOS;PIZZARIAS;Dug’s Pizzaria;"
Av. Magalhães Pinto, 656 - Brasilia, Arcos - MG, 35588-000";"
Fazer um pedido
ifood.com.br";"
(37) 99912-5113";;"
rededugs.com.br"
5;ARCOS;PIZZARIAS;Splendido Massas;"
Av. Gov. Valadares, 212A - Centro, Arcos - MG, 35588-000";"
Fazer um pedido";"
(37) 3351-4099";;"
splendidomassas.com.br"
6;ARCOS;PIZZARIAS;Borda's Pizzaria;"
Av Doutor João Vaz Sobrinho trecho I n°1671 - Cidade Nova, Arcos - MG, 35588-000";;"
(37) 99846-5416";;"
viptable.com.br"
7;ARCOS;PIZZARIAS;Master Pizza;"
Av. Márciana Rita de Souza, 590 - Centro, Arcos - MG, 35588-000";;"
(37) 3351-2211";;"
masterpizza.ind.br"
8;ARCOS;PIZZARIAS;Pizzaria Arcos;"
Av. Rodrigues Montemor, 921 - Cidade Domitila, São Paulo - SP, 04387-002";"
Fazer um pedido
ifood.com.br";"
(11) 5563-3137";;
9;ARCOS;PIZZARIAS;Bar Pizzaria Ponto Do Sabor;"
R. Ver. Luis Teixeira, Arcos - MG, 35588-000";;"
(37) 99817-9447";;
10;ARCOS;PIZZARIAS;Pizzaria Dois Arcos;"
Av. Ede, 705 - Vila Ede, São Paulo - SP, 02208-000";"
Fazer um pedido
ifood.com.br";"
(11) 2949-5214";;
11;ARCOS;PIZZARIAS;Hora do Almoço;"
Whatsapp & CELL - 31 - 972671950___R. Gentil Teixeira Maia, 108, Arcos - MG, 35588-000";;"
(37) 3351-5434";;
12;ARCOS;PIZZARIAS;Eldorado Pizza Delivery;"
Av. Maria da Cunha Amorim, 669-541, Arcos - MG, 35588-000";;"
(37) 99998-8735";;
13;ARCOS;PIZZARIAS;Churrascaria Bodocão;"
Rodovia BR-354, 556 - calcita, Arcos - MG, 35588-000";;"
(37) 3351-5485";;
14;ARCOS;PIZZARIAS;Lanchonete Pizzaria Mykelangelo;"
R. José Mantina, 120, Arcos - MG, 35588-000";;"
(37) 99803-0608";;"
facebook.com"
15;ARCOS;PIZZARIAS;Pizzaria La Petitt;"
R. Manoel Fernandes Nogueira, 932 - São Judas, Arcos - MG, 35600-216";;"
(37) 99911-1662";;
16;ARCOS;PIZZARIAS;Pizzaria Ramos;"
Praça Floriano Peixoto, 177, Arcos - MG, 35588-000";"
Fazer um pedido
ifood.com.br";"
(37) 99946-9794";;
17;formiga;restaurantes pizzarias;Pizzaria do Almeida;"
R. Arlíndo de Melo, 594 - Formiga, MG, 35570-000";;"
(37) 99941-4218";;
18;formiga;restaurantes pizzarias;Pizza da Terra;"
R. Eduardo Pereira da Rocha, 125 - Centro, Formiga - MG, 35570-000";"
Fazer um pedido
ifood.com.br";"
(37) 99983-8991";;"
pedido.anota.ai"
